bn:00026817n	diagram#n#1
bn:00561573n	Ansatz
bn:00976186n	Tomahawk_(geometry)
bn:01250496n	Typographical_conventions_in_mathematical_formulae
bn:01327413n	SGML_entity
bn:01436543n	Moorhuhn
bn:02362481n	TeX
bn:03243605n	ISO_31
bn:03312244n	Engineering_tolerance
bn:03452337n	Archimedean_spiral
bn:03885434n	Intercept_theorem
bn:05127033n	bn:05127033n
bn:05139981n	bn:05139981n
bn:05144200n	bn:05144200n
bn:05213062n	bn:05213062n
bn:05285197n	bn:05285197n
bn:05387505n	bn:05387505n
bn:05577205n	bn:05577205n
bn:14039195n	bn:14039195n
bn:14293275n	Edge_(graph_theory)
bn:14904592n	bn:14904592n
bn:14959731n	per_mille
bn:15114138n	Mathematical_Operators
bn:16096983n	hendecagon
bn:16155545n	unit_symbol
bn:16179209n	Quadratrix_of_Hippias
bn:16924427n	unit_of_angle
bn:16988920n	International_System_of_Quantities
bn:00046665n	space#n#1
bn:00054019n	measurement#n#1
bn:00066253n	rational_number#n#1
bn:01157394n	GNU_Free_Documentation_License
bn:05665580n	bn:05665580n
bn:05672918n	bn:05672918n
bn:00338017n	Degree_symbol
bn:01111042n	Wikimedia_Foundation
bn:02210346n	19th_century
bn:03243104n	closed_set
bn:13870394n	bn:13870394n
bn:15649186n	Three-dimensional_space
bn:00001430n	administrative_division#n#1
bn:00003667n	amplitude#n#1
bn:00005430n	Archimedes#n#1
bn:00011093n	Blaise_Pascal#n#1
bn:00018105n	chemical_element#n#1
bn:00025383n	David_Hilbert#n#1
bn:00026486n	Descartes#n#1
bn:00026507n	descriptive_geometry#n#1
bn:00031826n	Leonhard_Euler#n#1
bn:00041586n	Pyramid#n#3
bn:00058923n	Omar_Khayyam#n#1
bn:00290092n	Baudhayana
bn:00567178n	Four-dimensional_space
bn:00810266n	June_25
bn:01404775n	Subatomic_particle
bn:01909550n	One-dimensional_space
bn:01923495n	Apollonius_of_Perga
bn:02335841n	Aryabhata
bn:02335903n	Brahmagupta
bn:03206996n	Kātyāyana
bn:03263546n	Henri_Poincaré
bn:03747672n	differential_geometry
bn:08199785n	bn:08199785n
bn:08226886n	bn:08226886n
bn:08243536n	bn:08243536n
bn:08250750n	bn:08250750n
bn:00003143n	altitude#n#2
bn:00258141n	law_of_sines
bn:00790971n	Wiktionary
bn:01745594n	PDF
bn:02029068n	Thales'_theorem
bn:03335822n	Conversion_of_units
bn:07022821n	bn:07022821n
bn:07030969n	bn:07030969n
bn:00047477n	Irish#n#3
bn:02643177n	Coiscéim
bn:03288118n	Wikipedia
bn:14939474n	bn:14939474n
bn:14944686n	bn:14944686n
bn:00000126n	sixty#n#1
bn:00021901n	connection#n#2
bn:00029650n	ecliptic#n#1
bn:00046524n	Indo-Hittite#n#1
bn:00561528n	Java_applet
bn:00727363n	classical_physics
bn:01260085n	Euclidean_plane_isometry
bn:01796575n	Ignazio_Porro
bn:01870264n	Q.E.D.
bn:03715972n	Biblioteca_Nazionale_Centrale
bn:03952726n	Comprehensive_R_Archive_Network
bn:08915459n	bn:08915459n
bn:08951487n	Clostridium_cellulofermentans
bn:08973380n	bn:08973380n
